Concurso,Data,Prêmio1,Prêmio2,Prêmio3,Prêmio4,Prêmio5
505,11/10/1967,2738,8750,4093,9383,3266
506,14/10/1967,1507,6532,1994,3864,6331
507,18/10/1967,4675,6146,425,9055,5851
508,21/10/1967,8785,7198,5370,6514,8388
509,25/10/1967,2394,2325,9806,7229,5216
510,28/10/1967,2066,459,5567,7838,5091
511,01/11/1967,3476,5240,6083,1613,9132
512,04/11/1967,7214,9605,3944,9175,5500
513,08/11/1967,9090,646,7056,7100,8978
514,11/11/1967,5195,3816,1625,8507,1676
515,18/11/1967,8260,8601,6588,8013,3510
516,22/11/1967,2812,7805,9829,9885,7625
517,25/11/1967,8061,5772,2787,2697,9566
518,29/11/1967,6726,1256,7250,2075,3461
519,02/12/1967,9431,9730,3844,1047,7323
520,06/12/1967,8090,1694,4154,723,7281
521,09/12/1967,2231,342,6563,4009,3216
522,13/12/1967,9505,7364,8721,1779,7132
523,16/12/1967,4634,8751,9941,1213,4669
524,20/12/1967,6955,1516,3211,5713,8974
525,23/12/1967,4601,9333,4677,4079,4129
526,27/12/1967,3788,8464,5001,3431,7406
527,30/12/1967,389,4653,9469,5606,4693
528,03/01/1968,5807,5355,6493,9847,473
529,06/01/1968,8046,2508,7920,402,5265
530,10/01/1968,6446,5791,7596,580,4224
531,13/01/1968,1454,9702,6635,4312,6166
532,17/01/1968,2140,6391,6035,9599,1794
533,20/01/1968,5087,5166,7313,3178,9898
534,24/01/1968,3344,8368,5824,9269,2179
535,27/01/1968,1459,7756,6677,3421,6192
536,31/01/1968,1693,9460,6151,3495,5417
537,03/02/1968,8249,8095,7376,47,1347
538,07/02/1968,9930,239,4839,4890,9267
539,10/02/1968,6226,3200,936,2859,4531
540,14/02/1968,7681,3466,8648,4433,4035
541,17/02/1968,5819,987,1840,4211,8693
542,21/02/1968,8165,3740,4926,5954,7672
543,24/02/1968,7629,6685,7417,9317,8245
544,02/03/1968,4328,9063,7904,6312,6909
545,06/03/1968,3370,1361,4609,4422,8197
546,09/03/1968,501,2819,2232,6246,918
547,13/03/1968,6426,4370,2695,6633,8444
548,16/03/1968,3660,6476,8841,1593,7063
549,20/03/1968,4613,9065,6992,1578,7441
550,23/03/1968,8390,1630,2127,1543,6906
551,27/03/1968,8586,3008,3305,853,9322
552,30/03/1968,8425,7008,952,896,3181
553,03/04/1968,220,9689,60,9754,6485
554,06/04/1968,6712,762,5551,5025,695
555,10/04/1968,4733,9654,9951,5839,6622
556,13/04/1968,1527,3770,162,4280,6943
557,17/04/1968,1853,8689,4419,5079,160
558,20/04/1968,2176,3965,802,6438,8141
559,24/04/1968,2152,2324,5728,3440,2554
