Concurso,Data,Prêmio1,Prêmio2,Prêmio3,Prêmio4,Prêmio5
328,15/01/1966,PIPP,PPPI,PPPP,IPPI,PIPP
329,19/01/1966,PIII,PIIP,IIIP,PIPP,IIPP
330,22/01/1966,IPII,PIIP,IPII,PIIP,IIII
331,26/01/1966,PPIP,PIII,IIIP,PIIP,IPPP
332,29/01/1966,PPPI,PIIP,PPPP,PPPI,IIIP
333,02/02/1966,IPIP,PPPP,PPPI,IIII,IPPP
334,05/02/1966,PPPP,IPPI,PPII,PPPI,IIPP
335,09/02/1966,IPIP,IPIP,IIPP,IPPI,PPPP
336,12/02/1966,IIII,IIII,IPPP,PIIP,IPII
337,16/02/1966,PPPP,PPIP,PIPP,IIII,PPPP
338,19/02/1966,IIPP,IIPP,IPIP,PIPP,IIIP
339,26/02/1966,IIPI,PIPP,PIPI,IPII,IPPP
340,02/03/1966,IPPP,PIII,PPII,PIIP,IIIP
341,05/03/1966,IPPP,IPPI,PIPI,PIIP,PIPI
342,09/03/1966,IIPI,IIII,IPIP,PIPI,IPII
343,12/03/1966,IPPP,PPPP,IIPI,IIPP,IIPP
344,16/03/1966,IIIP,PIPP,PIPI,IIIP,IIII
345,19/03/1966,PPPI,IIII,IPPI,PIPP,IPPP
346,23/03/1966,PPIP,PPPP,IPPI,IPPI,IPPP
347,26/03/1966,IIII,PPPI,IPII,IPIP,IIII
348,30/03/1966,PIIP,IPIP,IPII,PPII,IPPI
349,02/04/1966,IPIP,PIPI,IIPP,IPPI,PPII
350,06/04/1966,PPII,IPPP,PPIP,PPII,PIPI
351,09/04/1966,PIIP,IIPI,PPPI,IIII,IPPI
352,13/04/1966,PIII,PIII,IPIP,PPPI,PPPP
353,16/04/1966,IIII,IPPP,IIPI,IIPI,IPPI
354,20/04/1966,PPPI,IPPP,IPII,PIII,IPII
355,23/04/1966,IPPP,PPIP,IPPP,IPIP,IPPP
356,27/04/1966,PIIP,IIIP,IIII,IPPI,IIPI
357,30/04/1966,IIPP,IPIP,IIPI,IIII,IIPI
358,04/05/1966,IPPI,IIIP,PPII,PIII,IPII
359,07/05/1966,IIIP,IPIP,PPIP,IPII,IIPP
360,11/05/1966,IIPI,PIPI,IIPI,PPIP,IIIP
361,14/05/1966,IPPP,PPPI,IIPI,PPII,IPIP
362,18/05/1966,IPPP,PPPI,PIPI,IIIP,IIPP
363,21/05/1966,PPPP,PIPP,PPIP,PIPP,PPII
364,25/05/1966,PPII,IIII,IPPP,PPIP,IIII
365,28/05/1966,IIPI,IIII,PIIP,PIII,IPII
366,01/06/1966,PIII,PPPI,IPIP,PIPP,PPII
367,04/06/1966,IIIP,IPPI,IPII,PIPI,PIPI
368,08/06/1966,IIPP,IPIP,IPII,PIIP,IIPI
369,11/06/1966,PIPI,PIIP,IIII,IIPI,IIPP
370,15/06/1966,PIIP,PPII,IIPP,PIPI,PIIP
371,18/06/1966,IPPP,IPPI,PPPI,IIIP,IPPI
372,22/06/1966,PIII,PPII,PIII,IIII,PIPI
373,25/06/1966,PIIP,PIPI,IIIP,PPPP,PPII
374,29/06/1966,PPIP,PIPI,IIPP,PIII,PIPP
375,02/07/1966,PIPP,PPIP,IIIP,PIII,IIPI
376,06/07/1966,IIIP,PPIP,IIII,IPIP,PIPI
377,07/07/1966,PIPP,PIPP,PPPP,IIII,PPPP
378,13/07/1966,PIII,PPIP,IPPI,IPII,PIII
379,16/07/1966,IPIP,IIPI,IPIP,PPIP,PPPI
380,20/07/1966,PPPP,PPPP,IPPI,IPIP,PIPI
381,23/07/1966,PPPI,PIIP,IIIP,PIPP,PIPP
382,01/08/1966,PPPP,PPPP,PPPP,PPPP,PPPP
383,02/08/1966,PPPP,PPPP,PPPP,PPPP,PPPP
384,03/08/1966,PPPI,IIPP,PIPP,IIII,PIPP
385,06/08/1966,PPII,IIII,PIII,IIPP,PPIP
386,10/08/1966,IIII,IPPI,IPPP,IIPP,IIIP
387,13/08/1966,IIIP,PIIP,IPPP,IPII,IIPI
388,17/08/1966,IPPP,IPPP,IIPP,PIPP,IPPI
389,20/08/1966,PIPP,PIPI,IPPP,PPII,IPPI
390,24/08/1966,PPIP,IIPP,PPII,PIPI,IPII
391,27/08/1966,PIIP,IPPI,PPPP,IPPI,IPII
392,31/08/1966,IPPI,PIIP,PIPI,PIPI,PPII
393,03/09/1966,IPPP,PPPP,IPIP,IIPI,IIII
394,10/09/1966,IPPI,PPIP,PPIP,IIII,PPPI
395,14/09/1966,PPII,PPPP,PPII,IPPI,PIII
396,17/09/1966,PIIP,IPPP,IIII,PPIP,IIPP
397,21/09/1966,IIII,IPII,PIPP,IPPI,IIPI
398,24/09/1966,PIIP,PIPP,IIII,PPII,PPPP
399,28/09/1966,PPII,PPII,PIII,IPIP,PPPP
400,01/10/1966,PIPI,PIPP,PIPI,IIII,IIII
401,05/10/1966,IPIP,IIIP,IIPP,PPII,PIPP
402,08/10/1966,IIPI,IPPI,IPPP,PPPI,PPPP
403,12/10/1966,PPII,PIPP,PPIP,PIII,IPPP
404,15/10/1966,IPPI,PIII,IPPI,IPPP,IPPI
405,19/10/1966,IIII,PIPP,IPIP,IIPP,PPIP
406,22/10/1966,IIII,IPII,IPIP,PIII,PPIP
407,26/10/1966,IPIP,IIIP,PIPP,PIPI,PIPI
408,29/10/1966,PIPP,PIPP,IPPI,PPIP,IIII
409,05/11/1966,IPII,IIII,IPPP,PIII,IIPP
410,09/11/1966,PPIP,PPIP,PPPI,PPII,PIPP
411,12/11/1966,PPIP,IIIP,PPIP,IIPI,IPPP
412,16/11/1966,IPIP,IIPP,IIPP,IPII,PPII
413,19/11/1966,IIIP,IIII,PPII,IIPI,IIII
414,23/11/1966,PPII,IIII,IPPP,PPII,IIPI
415,26/11/1966,PPPP,IPIP,IPIP,IPII,IIII
416,30/11/1966,IIPI,PIPI,IPII,IIII,PIPP
417,03/12/1966,IIII,IPII,PPPP,IIPP,IIII
